date,cancer,population,"Crude rate per 100,000 population","European Standard population rate per 100,000"
2018-12-31,20446.0,23500904.0,87.0,90.96
2019-01-07,24693.0,23506281.0,105.0,109.38999999999999
2019-01-14,23683.0,23513552.0,101.0,104.86999999999998
2019-01-21,23669.0,23520185.0,101.0,104.87499999999999
2019-01-28,23776.0,23527954.0,101.0,105.34
2019-02-04,23887.0,23535448.0,101.0,105.625
2019-02-11,23855.0,23540559.0,101.0,105.595
2019-02-18,23215.0,23546290.0,99.0,102.85499999999999
2019-02-25,23472.0,23552135.0,100.0,104.06
2019-03-04,23786.0,23556551.0,101.0,105.00499999999998
2019-03-11,24176.0,23563334.0,103.0,106.905
2019-03-18,23456.0,23567570.0,100.0,103.57
2019-03-25,23129.0,23576345.0,98.0,102.14999999999999
2019-04-01,24373.0,23574060.0,103.0,107.54
2019-04-08,24091.0,23586156.0,102.0,106.13000000000001
2019-04-15,21358.0,23589644.0,91.0,94.28500000000001
2019-04-22,22123.0,23591782.0,94.0,97.54
2019-04-29,24512.0,23596628.0,104.0,108.19999999999999
2019-05-06,21921.0,23600409.0,93.0,96.39
2019-05-13,24190.0,23606655.0,102.0,106.42500000000001
2019-05-20,24310.0,23613174.0,103.0,107.16999999999999
2019-05-27,21181.0,23617512.0,90.0,93.25
2019-06-03,24124.0,23623701.0,102.0,105.84
2019-06-10,24073.0,23631639.0,102.0,105.815
2019-06-17,23305.0,23638647.0,99.0,102.32499999999999
2019-06-24,24105.0,23646820.0,102.0,105.84500000000001
2019-07-01,23793.0,23647662.0,101.0,104.17999999999999
2019-07-08,23690.0,23661312.0,100.0,103.82500000000002
2019-07-15,23830.0,23665684.0,101.0,104.55
2019-07-22,23742.0,23672181.0,100.0,104.04500000000002
2019-07-29,23918.0,23678006.0,101.0,104.89
2019-08-05,23734.0,23683143.0,100.0,103.94
2019-08-12,23699.0,23689322.0,100.0,103.7
2019-08-19,24042.0,23696077.0,101.0,105.21
2019-08-26,21306.0,23699550.0,90.0,93.18
2019-09-02,24229.0,23707467.0,102.0,105.81
2019-09-09,23925.0,23715531.0,101.0,104.53500000000001
2019-09-16,24056.0,23724572.0,101.0,105.205
2019-09-23,24048.0,23734333.0,101.0,105.075
2019-09-30,24407.0,23737582.0,103.0,106.51499999999999
2019-10-07,24293.0,23748774.0,102.0,105.90500000000003
2019-10-14,24716.0,23757384.0,104.0,107.845
2019-10-21,24140.0,23766258.0,102.0,105.36999999999999
2019-10-28,23926.0,23775722.0,101.0,104.40500000000002
2019-11-04,25101.0,23784214.0,106.0,109.31499999999998
2019-11-11,24709.0,23793018.0,104.0,107.71500000000003
2019-11-18,24875.0,23800110.0,105.0,108.33
2019-11-25,24774.0,23805305.0,104.0,108.0
2019-12-02,24965.0,23812637.0,105.0,108.51999999999998
2019-12-09,24866.0,23817825.0,104.0,108.27000000000001
2019-12-16,24999.0,23821826.0,105.0,108.86500000000001
2019-12-23,15731.0,23824608.0,66.0,68.35500000000002
2019-12-30,20925.0,23826453.0,88.0,91.01
2020-01-06,26031.0,23828197.0,109.0,112.96000000000002
2020-01-13,24846.0,23834005.0,104.0,107.85499999999999
2020-01-20,24543.0,23840060.0,103.0,106.67499999999998
2020-01-27,24818.0,23847216.0,104.0,107.89
2020-02-03,24582.0,23853904.0,103.0,106.68499999999999
2020-02-10,24686.0,23858639.0,103.0,107.22000000000001
2020-02-17,23834.0,23863319.0,100.0,103.43499999999997
2020-02-24,24326.0,23867360.0,102.0,105.745
2020-03-02,24241.0,23872833.0,102.0,104.91000000000001
2020-03-09,23288.0,23879603.0,98.0,100.865
2020-03-16,19714.0,23882786.0,83.0,85.53
2020-03-23,15082.0,23885410.0,63.0,65.39999999999999
2020-03-30,13810.0,23886359.0,58.0,60.0
2020-04-06,12136.0,23885285.0,51.0,52.459999999999994
2020-04-13,12234.0,23881267.0,51.0,53.025000000000006
2020-04-20,13505.0,23876181.0,57.0,58.470000000000006
2020-04-27,13927.0,23872840.0,58.0,60.345000000000006
2020-05-04,13679.0,23870584.0,57.0,59.324999999999996
2020-05-11,15325.0,23868667.0,64.0,66.425
2020-05-18,15596.0,23868787.0,65.0,67.56500000000001
2020-05-25,14700.0,23867605.0,62.0,63.69499999999999
2020-06-01,16882.0,23868778.0,71.0,72.93
2020-06-08,16894.0,23869243.0,71.0,73.18
2020-06-15,17238.0,23870211.0,72.0,74.65
2020-06-22,18216.0,23870901.0,76.0,78.94500000000001
2020-06-29,18228.0,23871558.0,76.0,78.84000000000002
2020-07-06,18136.0,23874264.0,76.0,78.46500000000002
2020-07-13,19006.0,23875335.0,80.0,82.12
2020-07-20,18839.0,23878702.0,79.0,81.56000000000003
2020-07-27,18952.0,23880573.0,79.0,82.045
2020-08-03,19194.0,23881778.0,80.0,82.83499999999998
2020-08-10,19403.0,23884283.0,81.0,83.76000000000002
2020-08-17,19886.0,23885391.0,83.0,85.78000000000002
2020-08-24,20122.0,23884985.0,84.0,87.015
2020-08-31,18573.0,23884934.0,78.0,80.235
2020-09-07,20535.0,23890346.0,86.0,88.32500000000002
2020-09-14,20695.0,23890228.0,87.0,89.12
2020-09-21,20939.0,23894692.0,88.0,90.21
2020-09-28,21008.0,23896798.0,88.0,90.655
2020-10-05,21225.0,23902429.0,89.0,91.245
2020-10-12,21280.0,23906292.0,89.0,91.67999999999998
2020-10-19,21262.0,23910366.0,89.0,91.56000000000002
2020-10-26,20311.0,23915197.0,85.0,87.58500000000001
2020-11-02,19964.0,23919338.0,83.0,85.70500000000003
2020-11-09,19426.0,23923444.0,81.0,83.59000000000002
2020-11-16,18216.0,23927287.0,76.0,78.45
2020-11-23,16320.0,23930228.0,68.0,70.31
2020-11-30,2691.0,23932636.0,11.0,11.659999999999998
2020-12-07,0.0,23935904.0,0.0,0.0
2020-12-14,0.0,23938963.0,0.0,0.0
2020-12-21,0.0,23942423.0,0.0,0.0
2020-12-28,0.0,23943328.0,0.0,0.0
