date,CVD,population,"Crude rate per 100,000 population","European Standard population rate per 100,000"
2018-12-31,39847.0,23568596.0,169.0,176.94
2019-01-07,47446.0,23574040.0,201.0,210.01500000000001
2019-01-14,46539.0,23581406.0,197.0,205.965
2019-01-21,46728.0,23588171.0,198.0,206.80500000000004
2019-01-28,46013.0,23596044.0,195.0,203.87999999999997
2019-02-04,47103.0,23603645.0,200.0,207.935
2019-02-11,46483.0,23608842.0,197.0,205.32999999999998
2019-02-18,44946.0,23614659.0,190.0,198.885
2019-02-25,46685.0,23620625.0,198.0,206.725
2019-03-04,47126.0,23625116.0,199.0,207.76500000000001
2019-03-11,47093.0,23632001.0,199.0,207.86
2019-03-18,46285.0,23636398.0,196.0,204.29
2019-03-25,45851.0,23645353.0,194.0,202.34499999999997
2019-04-01,47801.0,23636925.0,202.0,210.26999999999998
2019-04-08,47476.0,23649113.0,201.0,209.155
2019-04-15,42459.0,23652695.0,180.0,187.10000000000002
2019-04-22,43346.0,23654891.0,183.0,190.98499999999999
2019-04-29,47475.0,23659811.0,201.0,209.30000000000004
2019-05-06,43551.0,23663684.0,184.0,191.305
2019-05-13,48091.0,23670025.0,203.0,211.285
2019-05-20,47799.0,23676649.0,202.0,210.05
2019-05-27,41559.0,23687339.0,175.0,182.85500000000002
2019-06-03,47520.0,23693622.0,201.0,208.08500000000004
2019-06-10,47136.0,23701672.0,199.0,206.45000000000002
2019-06-17,47022.0,23708802.0,198.0,206.1
2019-06-24,47455.0,23717092.0,200.0,208.18499999999997
2019-07-01,46389.0,23718059.0,196.0,202.59
2019-07-08,46053.0,23731816.0,194.0,201.17000000000002
2019-07-15,46200.0,23736301.0,195.0,202.02
2019-07-22,46127.0,23742909.0,194.0,201.87
2019-07-29,45749.0,23748844.0,193.0,200.35499999999996
2019-08-05,45572.0,23754072.0,192.0,198.895
2019-08-12,45752.0,23760357.0,193.0,199.555
2019-08-19,45524.0,23767213.0,192.0,198.76999999999998
2019-08-26,41178.0,23764378.0,173.0,179.79000000000002
2019-09-02,45816.0,23772386.0,193.0,199.33999999999997
2019-09-09,46330.0,23780562.0,195.0,201.66
2019-09-16,46508.0,23789713.0,195.0,202.52
2019-09-23,46431.0,23799600.0,195.0,202.35500000000002
2019-09-30,47674.0,23802942.0,200.0,208.04000000000002
2019-10-07,47490.0,23814245.0,199.0,206.345
2019-10-14,48046.0,23822977.0,202.0,208.85500000000002
2019-10-21,46954.0,23838451.0,197.0,204.37499999999997
2019-10-28,47052.0,23848017.0,197.0,204.79
2019-11-04,48791.0,23856625.0,205.0,211.64499999999998
2019-11-11,48222.0,23865553.0,202.0,209.165
2019-11-18,48978.0,23872757.0,205.0,212.74
2019-11-25,48664.0,23878067.0,204.0,211.445
2019-12-02,48376.0,23885520.0,203.0,209.32
2019-12-09,48586.0,23890821.0,203.0,210.53000000000003
2019-12-16,49181.0,23894931.0,206.0,213.29500000000002
2019-12-23,33634.0,23897822.0,141.0,145.885
2019-12-30,40801.0,23899716.0,171.0,177.16500000000002
2020-01-06,49240.0,23901566.0,206.0,212.99
2020-01-13,48489.0,23907514.0,203.0,209.91000000000003
2020-01-20,48182.0,23907110.0,202.0,209.01500000000004
2020-01-27,48881.0,23914407.0,204.0,212.05000000000004
2020-02-03,48336.0,23921242.0,202.0,208.97500000000002
2020-02-10,48299.0,23926080.0,202.0,208.975
2020-02-17,46844.0,23930918.0,196.0,202.80000000000004
2020-02-24,48337.0,23935094.0,202.0,209.475
2020-03-02,48036.0,23940673.0,201.0,207.32999999999996
2020-03-09,44981.0,23947556.0,188.0,194.375
2020-03-16,33619.0,23957534.0,140.0,145.455
2020-03-23,23839.0,23960280.0,99.0,103.03500000000003
2020-03-30,22322.0,23961313.0,93.0,96.47
2020-04-06,20824.0,23960343.0,87.0,89.69000000000001
2020-04-13,20359.0,23956359.0,85.0,87.92
2020-04-20,22798.0,23951325.0,95.0,98.535
2020-04-27,24562.0,23948024.0,103.0,106.33
2020-05-04,24895.0,23945826.0,104.0,107.38499999999999
2020-05-11,26321.0,23943940.0,110.0,113.67999999999999
2020-05-18,27975.0,23944153.0,117.0,121.06000000000002
2020-05-25,26668.0,23943006.0,111.0,115.50000000000003
2020-06-01,29542.0,23944281.0,123.0,127.36
2020-06-08,30714.0,23944810.0,128.0,132.47
2020-06-15,31593.0,23939067.0,132.0,136.445
2020-06-22,33511.0,23939835.0,140.0,144.945
2020-06-29,33233.0,23940569.0,139.0,143.82
2020-07-06,34205.0,23943369.0,143.0,147.445
