,date,sex,CVD,population,"European Standard population rate per 100,000"
0,2018-12-31,F,2486.0,11793267.0,20.305
2,2018-12-31,M,3368.0,11774890.0,31.885
4,2019-01-07,F,3071.0,11795643.0,25.06
6,2019-01-07,M,4128.0,11777957.0,39.02
8,2019-01-14,F,2909.0,11798808.0,23.750000000000004
10,2019-01-14,M,4098.0,11782155.0,38.98000000000001
12,2019-01-21,F,3023.0,11801885.0,24.869999999999997
14,2019-01-21,M,4285.0,11785843.0,40.68499999999999
16,2019-01-28,F,2903.0,11805275.0,23.79
18,2019-01-28,M,4106.0,11790326.0,38.795
20,2019-02-04,F,2932.0,11808668.0,23.825
22,2019-02-04,M,4155.0,11794532.0,39.06
24,2019-02-11,F,3017.0,11810729.0,24.68
26,2019-02-11,M,4137.0,11797669.0,39.144999999999996
28,2019-02-18,F,2826.0,11813293.0,23.065000000000005
30,2019-02-18,M,3906.0,11800923.0,36.815000000000005
32,2019-02-25,F,2918.0,11816349.0,24.15
34,2019-02-25,M,4160.0,11803832.0,39.405
36,2019-03-04,F,2992.0,11817997.0,24.58
38,2019-03-04,M,4411.0,11806674.0,41.495000000000005
40,2019-03-11,F,2924.0,11821533.0,23.78
42,2019-03-11,M,4236.0,11810025.0,39.845
44,2019-03-18,F,2974.0,11823689.0,24.410000000000004
46,2019-03-18,M,4138.0,11812266.0,38.86500000000001
48,2019-03-25,F,2827.0,11828155.0,23.295
50,2019-03-25,M,4103.0,11816755.0,38.7
52,2019-04-01,F,2996.0,11826641.0,24.53
54,2019-04-01,M,4314.0,11816074.0,40.455
56,2019-04-08,F,2963.0,11832479.0,24.259999999999998
58,2019-04-08,M,4064.0,11822430.0,38.33
60,2019-04-15,F,2664.0,11834061.0,21.67
62,2019-04-15,M,3726.0,11824435.0,35.265
64,2019-04-22,F,2766.0,11834949.0,22.48
66,2019-04-22,M,3879.0,11825748.0,36.68
68,2019-04-29,F,2939.0,11837291.0,24.1
70,2019-04-29,M,4183.0,11828330.0,39.585
72,2019-05-06,F,2817.0,11838798.0,22.895
74,2019-05-06,M,3945.0,11830703.0,36.93
76,2019-05-13,F,3088.0,11842060.0,25.110000000000003
78,2019-05-13,M,4327.0,11833797.0,40.455
80,2019-05-20,F,3020.0,11845257.0,24.635
82,2019-05-20,M,4133.0,11837228.0,38.725
84,2019-05-27,F,2610.0,11847287.0,21.250000000000004
86,2019-05-27,M,3659.0,11839612.0,34.50500000000001
88,2019-06-03,F,3047.0,11850424.0,24.75
90,2019-06-03,M,4134.0,11842759.0,38.56999999999999
92,2019-06-10,F,3040.0,11854254.0,24.77
94,2019-06-10,M,4228.0,11846979.0,39.480000000000004
96,2019-06-17,F,3015.0,11857546.0,24.57
98,2019-06-17,M,4186.0,11850817.0,38.96
100,2019-06-24,F,3016.0,11861767.0,24.555
102,2019-06-24,M,4250.0,11854887.0,39.72
104,2019-07-01,F,2899.0,11861987.0,23.56
106,2019-07-01,M,4121.0,11855633.0,38.395
108,2019-07-08,F,2881.0,11868734.0,23.42
110,2019-07-08,M,3999.0,11862642.0,37.285000000000004
112,2019-07-15,F,2873.0,11870722.0,23.290000000000003
114,2019-07-15,M,4127.0,11865138.0,38.525000000000006
116,2019-07-22,F,2944.0,11874210.0,24.015
118,2019-07-22,M,4021.0,11868257.0,37.55
120,2019-07-29,F,2870.0,11877302.0,23.115000000000002
122,2019-07-29,M,3917.0,11871099.0,36.42
124,2019-08-05,F,2855.0,11879849.0,23.020000000000003
126,2019-08-05,M,3921.0,11873780.0,36.56
128,2019-08-12,F,2808.0,11882671.0,22.705000000000002
130,2019-08-12,M,3921.0,11877243.0,36.295
132,2019-08-19,F,2722.0,11886096.0,22.075000000000003
134,2019-08-19,M,3916.0,11880671.0,36.34
136,2019-08-26,F,2614.0,11887827.0,21.28
138,2019-08-26,M,3638.0,11882486.0,34.055
140,2019-09-02,F,2867.0,11891905.0,23.125
142,2019-09-02,M,3946.0,11886427.0,36.464999999999996
144,2019-09-09,F,2869.0,11896433.0,23.21
146,2019-09-09,M,4149.0,11890076.0,38.5
148,2019-09-16,F,2947.0,11901191.0,23.785000000000004
150,2019-09-16,M,4024.0,11894470.0,37.300000000000004
152,2019-09-23,F,3069.0,11906337.0,24.835000000000004
154,2019-09-23,M,4158.0,11899235.0,38.49
156,2019-09-30,F,3148.0,11906281.0,25.425
158,2019-09-30,M,4113.0,11902639.0,38.225
160,2019-10-07,F,2981.0,11912056.0,23.94
162,2019-10-07,M,4245.0,11908191.0,39.315000000000005
164,2019-10-14,F,3099.0,11916470.0,24.855
166,2019-10-14,M,4229.0,11912518.0,39.17
168,2019-10-21,F,2885.0,11921106.0,23.32
170,2019-10-21,M,4112.0,11916899.0,38.175
172,2019-10-28,F,2972.0,11926304.0,24.04
174,2019-10-28,M,4094.0,11921268.0,37.964999999999996
176,2019-11-04,F,3161.0,11930586.0,25.465000000000003
178,2019-11-04,M,4227.0,11925595.0,39.34
180,2019-11-11,F,3099.0,11935257.0,24.905000000000005
182,2019-11-11,M,4167.0,11929853.0,38.67
184,2019-11-18,F,3049.0,11938997.0,24.535
186,2019-11-18,M,4297.0,11933315.0,39.82000000000001
188,2019-11-25,F,2894.0,11942095.0,23.345
190,2019-11-25,M,4234.0,11935527.0,39.254999999999995
192,2019-12-02,F,2919.0,11945966.0,23.5
194,2019-12-02,M,4245.0,11939107.0,39.17
196,2019-12-09,F,2976.0,11948640.0,24.05
