,date,region,cancer,population,"European Standard population rate per 100,000"
0,2018-12-31,East,4890.0,5519739.0,92.38999999999997
1,2018-12-31,East Midlands,3541.0,4122188.0,89.17
2,2018-12-31,London,966.0,1606652.0,89.58500000000002
3,2018-12-31,North East,920.0,1091877.0,88.76
4,2018-12-31,North West,1936.0,2048930.0,93.20499999999998
5,2018-12-31,South East,1270.0,1567103.0,79.045
6,2018-12-31,South West,3300.0,3232499.0,94.21
7,2018-12-31,West Midlands,651.0,985056.0,78.345
8,2018-12-31,Yorkshire and The Humber,2974.0,3387003.0,94.74
9,2019-01-07,East,5916.0,5521853.0,111.60000000000001
10,2019-01-07,East Midlands,4110.0,4122757.0,103.06500000000001
11,2019-01-07,London,1320.0,1607987.0,123.30499999999999
12,2019-01-07,North East,1179.0,1092005.0,112.97500000000002
13,2019-01-07,North West,2388.0,2049171.0,114.49
14,2019-01-07,South East,1532.0,1567020.0,95.59
15,2019-01-07,South West,3975.0,3233009.0,113.46000000000001
16,2019-01-07,West Midlands,745.0,985282.0,88.395
17,2019-01-07,Yorkshire and The Humber,3527.0,3387413.0,111.84
18,2019-01-14,East,5633.0,5523531.0,106.18499999999999
19,2019-01-14,East Midlands,4108.0,4123729.0,103.28500000000001
20,2019-01-14,London,1206.0,1609708.0,110.92000000000002
21,2019-01-14,North East,1130.0,1092175.0,109.02999999999999
22,2019-01-14,North West,2224.0,2049692.0,106.47
23,2019-01-14,South East,1458.0,1567113.0,91.00500000000001
24,2019-01-14,South West,3814.0,3234138.0,108.19000000000001
25,2019-01-14,West Midlands,777.0,985685.0,92.595
26,2019-01-14,Yorkshire and The Humber,3328.0,3388070.0,105.61000000000001
27,2019-01-21,East,5610.0,5525047.0,105.78500000000003
28,2019-01-21,East Midlands,4040.0,4124830.0,101.53999999999999
29,2019-01-21,London,1214.0,1611382.0,111.02000000000001
30,2019-01-21,North East,1121.0,1092313.0,108.145
31,2019-01-21,North West,2254.0,2050010.0,108.315
32,2019-01-21,South East,1488.0,1567267.0,92.34
33,2019-01-21,South West,3794.0,3235262.0,107.77000000000002
34,2019-01-21,West Midlands,810.0,985877.0,96.125
35,2019-01-21,Yorkshire and The Humber,3333.0,3388618.0,105.47000000000001
36,2019-01-28,East,5673.0,5526703.0,106.96000000000001
37,2019-01-28,East Midlands,4165.0,4125914.0,104.675
38,2019-01-28,London,1252.0,1612606.0,117.26
