,date,region,population,disease,"European Standard population rate per 100,000"
0,2018-12-31,East,5515055.0,7652.0,143.29161712039271
1,2018-12-31,East Midlands,4122225.0,5798.0,145.39997101113866
2,2018-12-31,London,1606708.0,1469.0,135.26380682354912
3,2018-12-31,North East,1091856.0,1555.0,149.60642079515156
4,2018-12-31,North West,2048923.0,3167.0,153.2331093009835
5,2018-12-31,South East,1567094.0,1949.0,120.50051567929289
6,2018-12-31,South West,3232506.0,4823.0,137.90649793444427
7,2018-12-31,West Midlands,985075.0,1324.0,153.23024673151258
8,2018-12-31,Yorkshire and The Humber,3383334.0,4839.0,152.4894530445464
9,2019-01-07,East,5517160.0,8879.0,166.06548039958847
10,2019-01-07,East Midlands,4122794.0,6515.0,163.03647034705466
11,2019-01-07,London,1608044.0,1842.0,170.71069607419463
12,2019-01-07,North East,1091984.0,1896.0,181.31317879824314
13,2019-01-07,North West,2049164.0,3704.0,177.91538098710174
14,2019-01-07,South East,1567011.0,2211.0,137.10033349864636
15,2019-01-07,South West,3233017.0,5672.0,161.93491078520324
16,2019-01-07,West Midlands,985301.0,1402.0,160.8966653667336
17,2019-01-07,Yorkshire and The Humber,3383753.0,5492.0,172.01971277727367
18,2019-01-14,East,5518827.0,8435.0,157.7062264139072
19,2019-01-14,East Midlands,4123766.0,6303.0,157.68415436792228
20,2019-01-14,London,1609766.0,1694.0,153.82119041245375
21,2019-01-14,North East,1092155.0,1756.0,168.4212921723855
22,2019-01-14,North West,2049685.0,3539.0,170.46372284598644
23,2019-01-14,South East,1567104.0,2146.0,133.06363475142933
24,2019-01-14,South West,3234147.0,5420.0,154.7541817922215
25,2019-01-14,West Midlands,985704.0,1409.0,161.1994147259026
26,2019-01-14,Yorkshire and The Humber,3384413.0,5266.0,165.21953611319876
27,2019-01-21,East,5520340.0,8459.0,158.23293921123891
28,2019-01-21,East Midlands,4124869.0,6250.0,156.2796549534416
29,2019-01-21,London,1611443.0,1709.0,154.25061237748167
30,2019-01-21,North East,1092293.0,1771.0,169.366243909023
31,2019-01-21,North West,2050003.0,3709.0,178.6906236176943
32,2019-01-21,South East,1567258.0,2206.0,137.0190153959642
33,2019-01-21,South West,3235271.0,5562.0,158.74220729916186
34,2019-01-21,West Midlands,985896.0,1373.0,157.63874842695452
35,2019-01-21,Yorkshire and The Humber,3384959.0,5304.0,165.56696481066896
36,2019-01-28,East,5522002.0,8599.0,160.6996538765041
37,2019-01-28,East Midlands,4125954.0,6341.0,158.57134651434703
38,2019-01-28,London,1612668.0,1691.0,157.03363837137766
39,2019-01-28,North East,1092347.0,1768.0,169.68760854555327
40,2019-01-28,North West,2050330.0,3633.0,174.62714089414723
41,2019-01-28,South East,1567638.0,2132.0,132.59500929957028
42,2019-01-28,South West,3237579.0,5281.0,150.8880322815335
43,2019-01-28,West Midlands,986094.0,1389.0,159.5790026150425
44,2019-01-28,Yorkshire and The Humber,3385619.0,5287.0,165.44071125680662
45,2019-02-04,East,5523410.0,8661.0,161.08538718234922
46,2019-02-04,East Midlands,4127314.0,6437.0,160.89458302247084
47,2019-02-04,London,1614441.0,1807.0,165.71009474402078
48,2019-02-04,North East,1092482.0,1686.0,161.31620436654129
49,2019-02-04,North West,2050678.0,3733.0,179.268816306434
50,2019-02-04,South East,1568125.0,2269.0,140.7590104993363
51,2019-02-04,South West,3238714.0,5505.0,156.93650087124647
52,2019-02-04,West Midlands,986522.0,1365.0,156.695308613987
53,2019-02-04,Yorkshire and The Humber,3386129.0,5375.0,167.86269557689124
54,2019-02-11,East,5524457.0,8637.0,161.18396855359313
55,2019-02-11,East Midlands,4128080.0,6355.0,158.8409550473772
56,2019-02-11,London,1615701.0,1767.0,160.5460274650145
57,2019-02-11,North East,1092598.0,1751.0,166.99289534337234
58,2019-02-11,North West,2050966.0,3498.0,167.65289021369736
59,2019-02-11,South East,1568338.0,2162.0,134.13915462426172
60,2019-02-11,South West,3239613.0,5403.0,153.92325796878
61,2019-02-11,West Midlands,986703.0,1389.0,160.28403998094794
62,2019-02-11,Yorkshire and The Humber,3386559.0,5211.0,163.4127188462419
63,2019-02-18,East,5525617.0,8204.0,153.25761769317015
64,2019-02-18,East Midlands,4128999.0,6041.0,150.91368728235966
65,2019-02-18,London,1617063.0,1682.0,155.29069821656213
66,2019-02-18,North East,1092806.0,1666.0,159.0222284028151
67,2019-02-18,North West,2051210.0,3266.0,156.53596505480314
68,2019-02-18,South East,1568466.0,2129.0,131.87274847010917
69,2019-02-18,South West,3240767.0,5109.0,145.70741746779908
70,2019-02-18,West Midlands,987132.0,1355.0,155.88617328536074
71,2019-02-18,Yorkshire and The Humber,3386772.0,4991.0,156.40498903713794
72,2019-02-25,East,5527048.0,8168.0,153.0932730803022
73,2019-02-25,East Midlands,4129895.0,6083.0,152.13502310446296
74,2019-02-25,London,1618130.0,1643.0,150.1302234503652
75,2019-02-25,North East,1092811.0,1780.0,170.42249908425325
76,2019-02-25,North West,2051466.0,3150.0,151.51948365679505
77,2019-02-25,South East,1568781.0,2096.0,130.38157196252953
78,2019-02-25,South West,3242207.0,5197.0,147.9514596514889
79,2019-02-25,West Midlands,987239.0,1325.0,152.7074134322704
80,2019-02-25,Yorkshire and The Humber,3387213.0,4999.0,157.22770349316693
81,2019-03-04,East,5528037.0,8317.0,154.93256482852863
82,2019-03-04,East Midlands,4130695.0,6070.0,151.4074283821575
83,2019-03-04,London,1618965.0,1688.0,154.08150662433835
84,2019-03-04,North East,1092816.0,1703.0,162.40515438466716
85,2019-03-04,North West,2052089.0,3473.0,166.67017720477403
86,2019-03-04,South East,1568821.0,2090.0,129.56357881460218
87,2019-03-04,South West,3243060.0,5216.0,148.12445998826274
88,2019-03-04,West Midlands,987296.0,1326.0,152.59719749554728
89,2019-03-04,Yorkshire and The Humber,3387521.0,5051.0,157.96429929213238
90,2019-03-11,East,5529554.0,8245.0,153.94785615477758
91,2019-03-11,East Midlands,4131749.0,6022.0,150.32679919473838
92,2019-03-11,London,1620608.0,1695.0,155.54474974839994
93,2019-03-11,North East,1092868.0,1695.0,161.89965690152093
94,2019-03-11,North West,2052402.0,3283.0,157.23280774871498
95,2019-03-11,South East,1568803.0,2154.0,133.39711094507575
96,2019-03-11,South West,3245066.0,5280.0,150.29807529048745
97,2019-03-11,West Midlands,987378.0,1343.0,153.70190391520612
98,2019-03-11,Yorkshire and The Humber,3387773.0,5168.0,161.96138398808986
99,2019-03-18,East,5530742.0,7994.0,149.1359415814099
100,2019-03-18,East Midlands,4132277.0,6089.0,151.94241993918433
101,2019-03-18,London,1621753.0,1588.0,144.90543957787816
102,2019-03-18,North East,1092870.0,1625.0,155.81761544363584
103,2019-03-18,North West,2052523.0,3087.0,148.2133767763053
104,2019-03-18,South East,1569055.0,2048.0,127.23933371276468
105,2019-03-18,South West,3245734.0,5111.0,145.6750845724665
106,2019-03-18,West Midlands,987417.0,1286.0,147.8710050140735
