,date,ethnicity,respiratory_disease,population,"European Standard population rate per 100,000"
0,31/12/2018,1,14424,13741267,106.025
1,31/12/2018,2,181,278070,98.88
2,31/12/2018,3,1024,1341491,110.65
3,31/12/2018,4,268,450417,78.42
4,31/12/2018,5,144,395643,62.435
5,07/01/2019,1,16631,13750077,120.595
6,07/01/2019,2,196,278362,103.455
7,07/01/2019,3,1058,1342799,115.43
8,07/01/2019,4,335,450895,107.72
9,07/01/2019,5,233,396264,93.05
10,14/01/2019,1,16278,13761727,118.54
11,14/01/2019,2,218,278818,113.54
12,14/01/2019,3,1161,1344600,125.785
13,14/01/2019,4,321,451563,91.71
14,14/01/2019,5,197,397151,85.275
15,21/01/2019,1,16623,13772576,121.36
16,21/01/2019,2,233,279291,101.43
17,21/01/2019,3,1144,1346103,123.545
18,21/01/2019,4,344,452352,104.485
19,21/01/2019,5,213,397967,91.06
20,28/01/2019,1,16303,13783370,118.685
21,28/01/2019,2,208,279755,108.825
22,28/01/2019,3,1133,1347763,118.635
23,28/01/2019,4,351,453088,112.795
24,28/01/2019,5,205,398756,90.215
25,04/02/2019,1,17076,13793667,124.215
26,04/02/2019,2,220,280179,116.6
27,04/02/2019,3,1124,1349552,121.355
28,04/02/2019,4,345,453764,98.035
29,04/02/2019,5,230,399588,91.345
30,11/02/2019,1,16789,13803557,122.005
31,11/02/2019,2,225,280600,117.095
32,11/02/2019,3,1098,1351322,119.41
33,11/02/2019,4,331,454377,101.485
34,11/02/2019,5,204,400450,79.595
35,18/02/2019,1,15955,13813407,115.34
36,18/02/2019,2,229,281036,118.685
37,18/02/2019,3,1070,1353181,120.32
38,18/02/2019,4,293,455054,86.535
39,18/02/2019,5,217,401277,85.05
40,25/02/2019,1,16071,13823626,115.885
41,25/02/2019,2,223,281460,122.02
42,25/02/2019,3,1076,1354998,119.43
43,25/02/2019,4,322,455760,105.99
44,25/02/2019,5,205,402094,73.56
45,04/03/2019,1,16449,13833407,118.475
46,04/03/2019,2,203,281837,107.955
47,04/03/2019,3,1053,1356668,110.91
48,04/03/2019,4,345,456342,101.025
49,04/03/2019,5,206,402821,76.8
50,11/03/2019,1,16388,13843744,117.975
51,11/03/2019,2,193,282254,92.68
52,11/03/2019,3,1059,1358354,114.905
53,11/03/2019,4,350,457001,106.805
54,11/03/2019,5,221,403665,89.085
55,18/03/2019,1,15854,13853314,114.305
56,18/03/2019,2,212,282667,110.22
57,18/03/2019,3,1095,1359983,118.375
58,18/03/2019,4,309,457631,88.315
59,18/03/2019,5,197,404407,76.81
60,25/03/2019,1,15721,13863498,113.255
61,25/03/2019,2,224,283069,119.4
62,25/03/2019,3,1052,1361583,113.365
63,25/03/2019,4,301,458313,86.625
64,25/03/2019,5,216,405208,84.005
65,01/04/2019,1,16604,13870232,118.765
66,01/04/2019,2,245,283411,117.385
67,01/04/2019,3,1134,1363085,121.95
68,01/04/2019,4,338,458934,106.72
69,01/04/2019,5,201,405804,85.73
70,08/04/2019,1,16165,13881927,115.56
71,08/04/2019,2,222,283908,129.465
72,08/04/2019,3,1080,1364901,115.205
73,08/04/2019,4,322,459650,104.705
74,08/04/2019,5,218,406560,89.725
75,15/04/2019,1,14434,13890768,103.15
76,15/04/2019,2,184,284285,97.89
77,15/04/2019,3,997,1366508,108.16
78,15/04/2019,4,264,460355,80.055
79,15/04/2019,5,165,407258,64.49
80,22/04/2019,1,14786,13896151,105.43
81,22/04/2019,2,190,284544,102.405
82,22/04/2019,3,1048,1367331,113.62
83,22/04/2019,4,304,460692,93.135
84,22/04/2019,5,161,407615,68.88
85,29/04/2019,1,15930,13905821,112.82
86,29/04/2019,2,215,284936,116.45
87,29/04/2019,3,1041,1368935,112.495
88,29/04/2019,4,320,461409,96.255
89,29/04/2019,5,206,408315,78.88
90,06/05/2019,1,14510,13913414,103.09
91,06/05/2019,2,190,285246,106.1
92,06/05/2019,3,940,1370284,102.41
93,06/05/2019,4,298,461913,87.695
94,06/05/2019,5,179,408847,69.99
95,13/05/2019,1,15999,13923214,113.46
96,13/05/2019,2,205,285626,119.83
97,13/05/2019,3,1064,1371950,116.7
98,13/05/2019,4,302,462595,89.06
99,13/05/2019,5,223,409508,86.745
100,20/05/2019,1,16375,13932611,115.76
101,20/05/2019,2,240,286002,117.47
102,20/05/2019,3,1003,1373545,104.505
103,20/05/2019,4,305,463283,89.55
104,20/05/2019,5,200,410223,79.935
105,27/05/2019,1,14119,13939678,99.685
106,27/05/2019,2,183,286326,91.99
107,27/05/2019,3,900,1374893,96.83
108,27/05/2019,4,274,463786,81.37
109,27/05/2019,5,163,410727,65.82
110,03/06/2019,1,15957,13949057,112.265
111,03/06/2019,2,171,286733,89.41
112,03/06/2019,3,952,1376414,104.05
113,03/06/2019,4,325,464329,97.87
114,03/06/2019,5,190,411397,80.325
115,10/06/2019,1,15816,13959132,111.045
116,10/06/2019,2,187,287151,114.005
117,10/06/2019,3,1077,1377869,117.41
118,10/06/2019,4,310,464964,99.15
119,10/06/2019,5,191,412130,70.39
120,17/06/2019,1,15811,13968539,111.265
121,17/06/2019,2,203,287591,105.51
122,17/06/2019,3,1096,1379502,119.645
123,17/06/2019,4,316,465657,91.98
124,17/06/2019,5,211,412827,82.7
125,24/06/2019,1,16052,13978373,113.165
126,24/06/2019,2,219,288056,112.795
127,24/06/2019,3,1074,1381231,114.83
128,24/06/2019,4,316,466349,101.135
129,24/06/2019,5,184,413567,71.235
130,01/07/2019,1,15738,13985442,110.17
131,01/07/2019,2,204,288387,103.28
132,01/07/2019,3,927,1382629,103.78
133,01/07/2019,4,299,466995,86.09
134,01/07/2019,5,197,414110,73.625
